Version,Field Name,Level 1 (ROOT),Level 2,Level 3,Level 4,Level 5,Level 6,Description,Value Example,Data Type,Max Length,Mapping Type,QC-GRAB,Column1,Column2
1,ExtendedFields,,ExtendedFields,,,,,,,string,,None,,,
1,WaveId,,WaveId,,,,,,,string,,None,,,
1,RoutingAttributes,,RoutingAttributes,,,,,,,string,,None,,,
1,PlanningOriginFacilityId,,PlanningOriginFacilityId,,,,,,,string,,None,,,
1,IsAutoConsolidationBlocked,,IsAutoConsolidationBlocked,,,,,,,boolean,,None,,,
1,DesignatedShipVia,,DesignatedShipVia,,,,,,,string,,None,,,
1,DeclaredValueCurrencyCode,,DeclaredValueCurrencyCode,,,,,,,string,,None,,,
1,BillOfLadingBreakAttribute,,BillOfLadingBreakAttribute,,,,,,,string,,None,,,
1,Priority,,Priority,,,,,,,string,,None,,,
1,ShipmmentPlanningScheduleDay,,ShipmmentPlanningScheduleDay,,,,,,,string,,None,,,
1,AccountReceivableAccountNumber,,AccountReceivableAccountNumber,,,,,,,string,,None,,,
1,LPNCubingIndicator,,LPNCubingIndicator,,,,,,,string,,None,,,
1,ParentOrder,,ParentOrder,,,,,,,string,,None,,,
1,RouteType1,,RouteType1,,,,,,,string,,None,,,
1,RouteType2,,RouteType2,,,,,,,string,,None,,,
1,SecondryMaxicodeAddressNumber,,SecondryMaxicodeAddressNumber,,,,,,,string,,None,,,
1,InternationalGoodsDescription,,InternationalGoodsDescription,,,,,,,string,,None,,,
1,AdvertisingDate,,AdvertisingDate,,,,,,,datetime,,None,,,
1,OrganizationId,,OrganizationId,,,,,,,string,,None,,,
1,RouteTo,,RouteTo,,,,,,,string,,None,,,
1,FedexDutyTaxAccountID,,FedexDutyTaxAccountID,,,,,,,string,,None,,,
1,FTSRNumber,,FTSRNumber,,,,,,,string,,None,,,
1,Language,,Language,,,,,,,string,,None,,,
1,DsgStaticRouteId,,DsgStaticRouteId,,,,,,,string,,None,,,
1,CashOnDeliveryFund,,CashOnDeliveryFund,,,,,,,string,,None,,,
1,PalletCubingIndicator,,PalletCubingIndicator,,,,,,,string,,None,,,
1,DestinationShipThroughLocation,,DestinationShipThroughLocation,,,,,,,string,,None,,,
1,DeclaredValue,,DeclaredValue,,,,,,,string,,None,,,
1,CustomerBrokerAccountNumber,,CustomerBrokerAccountNumber,,,,,,,string,,None,,,
1,RouteWaveNumber,,RouteWaveNumber,,,,,,,string,,None,,,
1,FedexDutyTaxPaymentType,,FedexDutyTaxPaymentType,,,,,,,string,,None,,,
1,ImporterDefinition,,ImporterDefinition,,,,,,,string,,None,,,
1,MoveType,,MoveType,,,,,,,string,,None,,,
1,FreightForwardAccountNumber,,FreightForwardAccountNumber,,,,,,,string,,None,,,
1,IsWarehouseTransfer,,IsWarehouseTransfer,,,,,,,boolean,,None,,,
1,IsShipmentDocumentsOnly,,IsShipmentDocumentsOnly,,,,,,,boolean,,None,,,
1,CustomerDepartment,,CustomerDepartment,,,,,,,string,,None,,,
1,TransportationWaveOptionId,,TransportationWaveOptionId,,,,,,,string,,None,,,
1,PlanningDestinationFacilityId,,PlanningDestinationFacilityId,,,,,,,string,,None,,,
1,PK,,PK,,,,,,,string,,None,,,
1,PrimaryMaxicodeAddressNumber,,PrimaryMaxicodeAddressNumber,,,,,,,string,,None,,,
1,DesignatedEquipmentId,,DesignatedEquipmentId,,,,,,,string,,None,,,
1,CancelReasonId,CancelReasonId,,,,,,,,string,,None,,,
1,PostVoIdReasonId,PostVoIdReasonId,,,,,,,,string,,None,,,
